company_name;type;reason
тенгизшевройл;importer;вд
нержавеющая сталь;importer;
transport logistic service group;importer;
ogma projects;importer;
трансгазинжиниринг;importer;
tagservices;importer;
тоо юид инжиниринг;importer;
маз управляющая компания холдинга белавтомаз;importer;
киос техфлоу;importer;
surhan gas chemical operating co mpany;importer;
стальпромказахстан;importer;
павлодарский речной порт;importer;
кохановский трубный завод белтрубпласт;importer;пластик
keruen plus;importer;пластик
тубасекс айбиэф казахстан;importer;вд
озтм;importer;нефтехим
lukoil uzbekistan operating co;importer;нефтехим
армсауда;importer;вд
стартсистем;importer;вд
бзмп;importer;фарм
белкаролин;importer;фарм
локомотив курастыру зауыты;importer;
stokamnet стокамнет;importer;
rehau рехау;importer;
uniflo kazakhstan юнифло казахстан;importer;
кэмм2030;importer;
hydroscand гидросканд;importer;пневм
бишкексут;importer;
компания норт каспиан оперейтинг компани нв в республике казахстан;importer;нефтехим
петроказахстан ойл продактс;importer;нефтехим
оzmaxsussuvtamirtaminot;importer;
mmk engineering;importer;
кмз квант;importer;
asmad;importer;
производственное объединение белоруснефть;importer;
самара лей казахстан;importer;
терва;importer;
фесторк;importer;пневм
жамбылремавтотехника;importer;
газпром трансгаз беларусь;importer;
белжелдорснаб;importer;
узтрансгаз;importer;
bm project co nstruction;importer;
kmg nabors drilling co mpany кмг нэйборс дриллинг компани;importer;
korcem корцем;importer;
алмалыкский гмк;importer;
тексолказсервис;importer;
казцинк;importer;
джити трейд;importer;стальные элементы
atv kazakhstan атв казахстан;importer;вд
holos;importer;
geyser kazakhstan;importer;
кз септик;importer;
steph trade;importer;
senimdi tandau;importer;
соколовскосарбайское горнообогатительное производственное объединение;importer;
юнайтед инжиниринг корпорейшн;importer;
эколос алматы;importer;
астана энерго сервис;importer;
геоцентргрупп;importer;
аква пласт;importer;
устькаменогорский титаномагниевый комбинат;importer;
ривер групп;importer;
луок в рамках реализации проекта;importer;
ферганский нпз;importer;
energogaz;importer;
микссен интернешнл насир айдархан мухтарулы;importer;
лосбел;importer;
сму99;importer;
ash hydraulik;importer;
электроаппаратура;importer;
inex;importer;
формула воды;importer;
шоро;importer;
jv uzkor gas chemical;importer;
еврозапчасть;importer;
кипэксперт;importer;
казнефтегазснаб;importer;
самсон контролс;importer;
управление материальнотехнического снабжения и комплектации оао газпром трансгаз беларусь;importer;
шлюмберже лоджелко инк в рк;importer;
ооо китайская гражданская инженерностроительная корпорация в республике казахстане;importer;
medi tecns;importer;
белазуправляющая компания холдинга белазхолдинг;importer;
hy lok;exporter;
a flow;exporter;
нпо тяжпромарматура;exporter;
станкостроитель;exporter;
арматурз;exporter;
производственное предприятие мехмаш;exporter;
shanghai crun trading and logistic co;exporter;
shanghai techno import and export co;exporter;
тд самара лей;exporter;
ритм тпта;exporter;
арттех;exporter;
kan;exporter;
kanspzoo;exporter;
бвт барьер рус;exporter;
reval flow ou;exporter;
завод гидрокомплект;exporter;
газпром бытовые системы;exporter;
gs export fzc? ???????????????? chongqing zorro alert technology ltd? ???????;exporter;
фирма andronaco s;exporter;
сэлпа1;exporter;
altaaqa alternative solutions global;exporter;
аквафор маркетинг;exporter;
белаква дистрибьюшн;importer;
лосбел гминск;importer;
камоцци пневматика;exporter;пневм
родолитаква;importer;
аква эксперт;importer;
торговый дом водяной стандарт;importer;
акватория;exporter;
вайлд вотер;importer;
аквабрайт;exporter;
тракбел;importer;
компания евроимпульс;exporter;
толочинский консервный завод;importer;
neptune co rporation;importer;
west oil gas systems;importer;
сп дбирс;exporter;
евроазиатская энергетическая корпорация;importer;
актюбинский рельсобалочный завод;importer;
еврогидросервис;importer;
caspian energy co rporation;importer;
astana supplier;importer;
фильтр;exporter;
анком;importer;
neptune sa nitary ware;importer;
казахстанский завод нефтяного оборудования;importer;
камкор локомотив;importer;
куду индастриз;importer;
china national chemical engineering co ltd чайна нэйшенл кемикал инжиниринг ко лтд в г астана;importer;
лпдс петропавловск ао транснефтьурал;importer;
sa msung electronics central eurasia самсунг электроникс центральная евразия;importer;
sa msung electronics co south korea;exporter;
оcоо кыргызмаштрейд;importer;
md energy;importer;
ульяновский завод промышленной арматуры;exporter;
атек;exporter;
пластик;exporter;
profectus;exporter;
апр;exporter;
21 век;exporter;
торговый дом третий кран;exporter;
лдм;importer;
stanley black decker polska;exporter;
ldm spol;exporter;
нпк медианафильтр;exporter;
osmetallshanghai stell pipe trading ldt;exporter;
sichuan kingcheetah technologiesco;exporter;
beijing zhonghanghua sa fety valve sa les co;exporter;промка
beijing zhonghanghua sa fety valve sa les co co mpany registered under the laws of china located;exporter;промка
сп gazli gas storage;importer;промка
пу enter engineering pte газли;importer;промка
ferrari;exporter;промка
автопитер;exporter;
автодок;exporter;
wenzhou diye valve fittings co;exporter;задвижка, двусоставной
wenzhou diye valve and fittings co;exporter;задвижка, двусоставной
совплим;exporter;воздух
комтехмаш;exporter;авто
кэтлогистик;exporter;авто
автопитеркз;importer;авто
автопитер бай;importer;авто
дстек;exporter;авто
зооветснаб;exporter;ветеринарка
эксперт авто;exporter;авто
автотрейдинвест;importer;авто
гидромашсервис;exporter;спецуха
